;
;
Input Initial (phrase naturelle);Input Reformulé (phrase reformatée) - pattern de questions standards
Quel est le montant de ma xxx1 ? ;Quel est le montant de ma xxx1 ?
Combien coûte ma xxx1 ? ;Quel est le montant de ma xxx1 ?
Quelle est la somme de ma xxx1 ? ;Quel est le montant de ma xxx1 ?
A quel montant s'élève ma xxx1 ? ;Quel est le montant de ma xxx1 ?
Peux-tu me dire le montant de ma xxx1 ? ;Quel est le montant de ma xxx1 ? Peux-tu ?
Comment obtenir le montant de ma xxx1 ? ;Quel est le montant de ma xxx1 ? + Méthode
Quel est le montant de mes xxx1 ? ;Quel est le montant de mes xxx1 ?
Combien coûtent mes xxx1 ? ;Quel est le montant de mes xxx1 ?
Quelle est la somme de mes xxx1 ? ;Quel est le montant de mes xxx1 ?
A quel montant s'élèvent mes xxx1 ? ;Quel est le montant de mes xxx1 ?
Peux-tu me dire le montant de mes xxx1 ? ;Quel est le montant de mes xxx1 ? Peux-tu ?
Comment obtenir le montant de mes xxx1 ? ;Quel est le montant de mes xxx1 ? + Méthode
Quel est le montant de mon xxx1 ? ;Quel est le montant de mon xxx1 ?
Combien coûte mon xxx1 ? ;Quel est le montant de mon xxx1 ?
Quelle est la somme de mon xxx1 ? ;Quel est le montant de mon xxx1 ?
A quel montant s'élève mon xxx1 ? ;Quel est le montant de mon xxx1 ?
Peux-tu me dire le montant de mon xxx1 ? ;Quel est le montant de mon xxx1 ? Peux-tu ?
Comment obtenir le montant de mon xxx1 ? ;Quel est le montant de mon xxx1 ? + Méthode
Quelle est la valeur de ma xxx1 sans les xxx2 ? ;Quel est le montant de ma xxx1 hors xxx2 ?
A quel montant s'élève ma xxx1 sans les xxx2 ? ;Quel est le montant de ma xxx1 hors xxx2 ?
Quelle est la somme de ma xxx1 sans les xxx2 ? ;Quel est le montant de ma xxx1 hors xxx2 ?
Combien coûte ma xxx1 sans les xxx2 ? ;Quel est le montant de ma xxx1 hors xxx2 ?
Peux-tu me dire ma xxx1 avant les xxx2 ? ;Quel est le montant de ma xxx1 hors xxx2 ? Peux-tu ?
Comment mesurer ma xxx1 sans inclure xxx2 ? ;Quel est le montant de ma xxx1 hors xxx2 ? + Méthode
Comment déterminer ma xxx1 avant xxx2 ? ;Quel est le montant de ma xxx1 hors xxx2 ? + Méthode
Quelle est la valeur de mes xxx1 sans les xxx2 ? ;Quel est le montant de mes xxx1 hors xxx2 ?
A quel montant s'élèvent mes xxx1 sans les xxx2 ? ;Quel est le montant de mes xxx1 hors xxx2 ?
Quelle est la somme de mes xxx1 sans les xxx2 ? ;Quel est le montant de mes xxx1 hors xxx2 ?
Combien coûtent mes xxx1 sans les xxx2 ? ;Quel est le montant de mes xxx1 hors xxx2 ?
Peux-tu me dire mes xxx1 avant les xxx2 ? ;Quel est le montant de mes xxx1 hors xxx2 ? Peux-tu ?
Comment mesurer mes xxx1 sans inclure xxx2 ? ;Quel est le montant de mes xxx1 hors xxx2 ? + Méthode
Comment déterminer mes xxx1 avant xxx2 ? ;Quel est le montant de mes xxx1 hors xxx2 ? + Méthode
Quelle est la valeur de mon xxx1 sans les xxx2 ? ;Quel est le montant de mon xxx1 hors xxx2 ?
