;;
;;
Input Initial (phrase naturelle);Input Reformulé (phrase reformatée) - pattern de questions standards;
Quel est mon xxx1 ? ;Quel est le montant de mon xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
Quelle est ma xxx1 ?;Quel est le montant de ma xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
Quels sont mes xxx1 ?;Quel est le montant de mes xxx1 ?;Le montant de vos xxx1 est de vvv1 euros
Quelles sont mes xxx1 ?;Quel est le montant de mes xxx1 ?;Le montant de vos xxx1 est de vvv1 euros
Donnes moi mon xxx1 ;Quel est le montant de mon xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
Donnes moi ma xxx1 ;Quel est le montant de ma xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
Donnes moi mes xxx1 ;Quel est le montant de mes xxx1 ?;Le montant de vos xxx1 est de vvv1 euros
Peux-tu me dire mon xxx1 ?;Quel est le montant de mon xxx1 ? Peux-tu ?;Oui je peux. Le montant de votre xxx1 est de vvv1 euros
Peux-tu me dire ma xxx1 ? ;Quel est le montant de ma xxx1 ? Peux-tu ? ;Oui je peux. Le montant de votre xxx1 est de vvv1 euros
Peux-tu me dire mes xxx1 ?;Quel est le montant de mes xxx1 ? Peux-tu ? ;Oui je peux. Le montant de votre xxx1 est de vvv1 euros
Comment connaître mon xxx1 ?;Quel est le montant de mon xxx1 ? + Méthode;Le montant de votre xxx1 est de vvv1 euros. Pour cela il faut...
Comment connaître ma xxx1 ?;Quel est le montant de ma xxx1 ? + Méthode;Le montant de votre xxx1 est de vvv1 euros. Pour cela il faut...
Comment connaître mes xxx1 ?;Quel est le montant de mes xxx1 ? + Méthode;Le montant de votre xxx1 est de vvv1 euros. Pour cela il faut...
Quel est le montant de ma xxx1 ? ;Quel est le montant de ma xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
Combien coûte ma xxx1 ? ;Quel est le montant de ma xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
Quelle est la somme de ma xxx1 ? ;Quel est le montant de ma xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
A quel montant s'élève ma xxx1 ? ;Quel est le montant de ma xxx1 ?;Le montant de votre xxx1 est de vvv1 euros
Peux-tu me dire le montant de ma xxx1 ? ;Quel est le montant de ma xxx1 ? Peux-tu ?;Oui je peux. Le montant de votre xxx1 est de vvv1 euros
